"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6huNf4dutXRjJyGn7f5BPS","Pray For Me","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ, spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","The Weeknd, Kendrick Lamar","spotify:album:5L5evi5tJPh8WaEFAQp7Tp","The Highlights","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","2021-02-05","https://i.scdn.co/image/ab67616d0000b27312a76d1b13ef07188f7dfbc9","1","7","211420","","true","80","USUM71800001","","2023-09-10T07:04:15Z"
"spotify:track:2ll7k2hZR96MICsYwQS7hO","Gta 4 Loading Theme Slowed And Reverb - Remix","spotify:artist:11zVzNHj5hETQ17BilwY3I","Levis Remix","spotify:album:0sSGlyskqXQr3pV1m2ark3","Gta 4 Loading Theme Slowed And Reverb (Remix)","spotify:artist:11zVzNHj5hETQ17BilwY3I","Levis Remix","2023-05-02","https://i.scdn.co/image/ab67616d0000b273c7bcfc2c5408c58acf72666b","1","1","161730","https://p.scdn.co/mp3-preview/3f595adc79ad9dd8df25751a0112af48b88afdf4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","ARIXB2306370","","2023-09-07T18:26:51Z"
"spotify:track:05Eq23mfskkJXrpnk1DlfU","Bloddy Mary X Dum Dum - Edit Version","spotify:artist:6avF6FLGVUti67QJ1AuecM","Kaushal Shekhawat","spotify:album:2GaRs5lO2NonNui8V1zUpr","Bloddy Mary X Dum Dum (Edit Version)","spotify:artist:6avF6FLGVUti67QJ1AuecM","Kaushal Shekhawat","2023-05-31","https://i.scdn.co/image/ab67616d0000b273fb48a126d3d2b46810f44209","1","1","184346","https://p.scdn.co/mp3-preview/67e64651f5190455f7f8983e44c803e2fdc65301?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","FRDKW2311321","","2023-09-06T15:05:25Z"
"spotify:track:512sG7n1ep1hrcd90IIpvV","Estilo","spotify:artist:4a2jmrKpsjqrfFm5ze6A4N","Cesar","spotify:album:3Cuv76CH4JpZWy6NTdrP0O","Estilo","spotify:artist:4a2jmrKpsjqrfFm5ze6A4N","Cesar","2023-01-31","https://i.scdn.co/image/ab67616d0000b273b3511db9c993cf90f0edec90","1","1","243290","https://p.scdn.co/mp3-preview/a3d1bd7ae8d5082e496fc2e2963352a39d9e2309?cid=9950ac751e34487dbbe027c4fd7f8e99","true","22","AEA2M2378273","","2023-09-06T15:04:50Z"
"spotify:track:4yNk9iz9WVJikRFle3XEvn","golden hour","spotify:artist:164Uj4eKjl6zTBKfJLFKKK","JVKE","spotify:album:2uiQo0DIcriQKVm5ivXuDO","this is what falling in love feels like (554Hz)","spotify:artist:164Uj4eKjl6zTBKfJLFKKK","JVKE","2022-10-03","https://i.scdn.co/image/ab67616d0000b2730af4476af141051c728ee8b9","1","3","209259","https://p.scdn.co/mp3-preview/bcc17f30841d6fbf3cd7954c3e3cf669f11b6a21?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","GBKPL2204171","","2023-08-26T19:02:40Z"
"spotify:track:57cipJHKNxVtyMt54ufEsz","Under The Influence x Renegade (sped up to perfection) - TikTok Remix","spotify:artist:2XqXXH9xPa1zucIOtZ3u3A, spotify:artist:0ooWCUtppfatIPYRufo0ak","TommyMuzzic, ZeddMusique","spotify:album:1F1bCI3Cpt6QceUO9bYmDp","Under The Influence x Renegade (TikTok Remix) - Your Body Languages Speaks To Me, Should've Listened To Them","spotify:artist:2XqXXH9xPa1zucIOtZ3u3A, spotify:artist:0ooWCUtppfatIPYRufo0ak","TommyMuzzic, ZeddMusique","2023-02-17","https://i.scdn.co/image/ab67616d0000b27350ee538a008f51d4ae5f3c39","1","3","138169","https://p.scdn.co/mp3-preview/bfe084bdba09db424bfd0b749402ca4cf757e745?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","GB8KE2302956","","2023-08-23T15:28:48Z"
"spotify:track:3AVXwaOGCEL8cmBecfcsFJ","Light Switch","spotify:artist:6VuMaDnrHyPL1p4EHjYLi7","Charlie Puth","spotify:album:4RRj9PqBj79OFDB2ydM7qs","Light Switch (Instrumental)","spotify:artist:6VuMaDnrHyPL1p4EHjYLi7","Charlie Puth","2022-01-19","https://i.scdn.co/image/ab67616d0000b273101337d65122832b36bfc928","1","2","187703","https://p.scdn.co/mp3-preview/135cce6ee2119c739643b3bbc15465623a60522c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","USAT22107359","","2023-08-18T17:40:32Z"
"spotify:track:3BMZSCVVn9HHyNJhHZ7u08","Wake Up to Reality! Uchiha Madara Speech (JAP)","spotify:artist:4uRrdwy23hL9aXb8kxkIvR, spotify:artist:63WgRXpbHInHdd2RlROUYZ","Alayans, KonigTiger","spotify:album:3cysTdOdAr2gMVqRhUtGlL","Wake Up to Reality! Uchiha Madara Speech (JAP)","spotify:artist:4uRrdwy23hL9aXb8kxkIvR","Alayans","2023-05-07","https://i.scdn.co/image/ab67616d0000b2733bc7e6a6ba80001f24700b11","1","1","83928","https://p.scdn.co/mp3-preview/868c1388f32525bfcb6f6b806acb0708c08e4edb?cid=9950ac751e34487dbbe027c4fd7f8e99","true","33","QZK6P2399800","","2023-08-12T16:38:47Z"
"spotify:track:1Ju2lYlvXnvXe3r3QC9sJH","Akatsuki","spotify:artist:5FXQVq0uoZJvSpINXPxamv","Ambassador","spotify:album:3saMt3K76XpOT8eO4jJKV9","Akatsuki","spotify:artist:5FXQVq0uoZJvSpINXPxamv","Ambassador","2022-01-13","https://i.scdn.co/image/ab67616d0000b27343a95cf0c7282c19b1c50056","1","1","139447","https://p.scdn.co/mp3-preview/e97405501c8fddd2118a97bc734bd023921aff87?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","RUA1H2174518","","2023-08-12T16:38:38Z"
"spotify:track:0IRzfNqrNFkV5MFf1cCV2i","Wake Up To Reality","spotify:artist:7prKONmr6gOGVFWbl4VtpO","RamflexOfficial","spotify:album:0flXwN1izWi2t68NgnaiVE","Wake Up To Reality","spotify:artist:7prKONmr6gOGVFWbl4VtpO","RamflexOfficial","2023-06-18","https://i.scdn.co/image/ab67616d0000b2732eeb77b765dffccff1388417","1","1","210790","https://p.scdn.co/mp3-preview/5e71305cf83e5ee651ad6991ba2041fe3dbfe4c8?cid=9950ac751e34487dbbe027c4fd7f8e99","true","39","QZMEP2314643","","2023-08-12T16:38:21Z"
"spotify:track:5K2onWVFDevmZ5y9AgiEcr","Fluxxwave","spotify:artist:1rPMCfJhANfBT78l2wf4d6","Clovis Reyes","spotify:album:5VSZMq4gFIMNympUWJa0AV","Fluxxwave","spotify:artist:1rPMCfJhANfBT78l2wf4d6","Clovis Reyes","2023-05-07","https://i.scdn.co/image/ab67616d0000b273451c3d84572c129fe11dc9d3","1","1","150441","https://p.scdn.co/mp3-preview/260b6bf82fe8842902799ac15c9f9ec0ad52dc13?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","QZK6N2350050","","2023-08-12T16:36:51Z"
"spotify:track:0P3F6xMn3R1Ja8hjJ1HBTO","Džanum","spotify:artist:5japL3H3OQvvJfhtsNh3eU","Teya Dora","spotify:album:7sac6tKZQBSIkOC9f0zVvA","Džanum","spotify:artist:5japL3H3OQvvJfhtsNh3eU","Teya Dora","2023-03-22","https://i.scdn.co/image/ab67616d0000b273746c257295cf1b9fdb072291","1","1","174045","https://p.scdn.co/mp3-preview/737b2b3a04c69b927bf0640cd2d5047a64169d85?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","FRX202362720","","2023-08-12T07:42:58Z"
"spotify:track:2lW57y7U7Pce21wRiMe6EA","Ali Ali","spotify:artist:1BKMGwVQOhbkZ1xEiPH2k3, spotify:artist:1mYsTxnqsietFxj1OgoGbG, spotify:artist:2gFFvbbdzYzzWltI2HkZEV","Diorange, A.R. Rahman, Nooran Sisters","spotify:album:0YOzjLEm1PqHp70POGMo02","Ali Ali","spotify:artist:1BKMGwVQOhbkZ1xEiPH2k3, spotify:artist:1mYsTxnqsietFxj1OgoGbG, spotify:artist:2gFFvbbdzYzzWltI2HkZEV","Diorange, A.R. Rahman, Nooran Sisters","2023-05-26","https://i.scdn.co/image/ab67616d0000b273cd26f999cf30dde65d6a54ac","1","1","124000","","false","66","SEUM72300622","","2023-08-10T18:54:32Z"
"spotify:track:6WgUI48YNgWL4bKaUYgW94","People You Know x Starboy","spotify:artist:2UUNqX43sA4dxX698liyey","Ren","spotify:album:1Klz4DxErrYdMfpuvylufL","People You Know x Starboy","spotify:artist:2UUNqX43sA4dxX698liyey","Ren","2023-04-14","https://i.scdn.co/image/ab67616d0000b2733adfdd2f2101c631ab226047","1","1","128264","https://p.scdn.co/mp3-preview/5cbcdca45e9fd2d5425f022d698841459b3a598a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","FRDKW2307388","","2023-07-25T07:58:58Z"
"spotify:track:3M0lSi5WW79CXQamgSBIjx","Swim","spotify:artist:7cYEt1pqMgXJdq00hAwVpT","Chase Atlantic","spotify:album:7C8uqokvE67UOlu1TiEYMd","Chase Atlantic","spotify:artist:7cYEt1pqMgXJdq00hAwVpT","Chase Atlantic","2017-10-04","https://i.scdn.co/image/ab67616d0000b2735a0c2870f4f309e382d1fad6","1","6","228786","https://p.scdn.co/mp3-preview/e201f50b9d4426569bcc1a46acee0c4d5fa2e91c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","USWB11701711","","2023-07-11T20:42:14Z"
